=================== Tests ===================

1. Test:
	- 2 small files
	- Table size: 1
	- 100x create 1 block / remove 1 block
	- 2 files per block

               Real       System     User      
create_table   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.01       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.02       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.01       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.02       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.01       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.01       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.02       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.02       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.01       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.02       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.01       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.01       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.02       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.01       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.00       
remove_block   0.00       0.00       0.00       
TOTAL          1.34       0.10       0.10       

2. Test:
	- 3 medium files
	- Table size: 5
	- 20x create 5 blocks / remove 5 blocks
	- 9 files per block

               Real       System     User      
create_table   0.00       0.00       0.00       
wc_files       0.02       0.00       0.00       
wc_files       0.01       0.00       0.00       
wc_files       0.02       0.00       0.00       
wc_files       0.01       0.00       0.00       
wc_files       0.02       0.00       0.00       
remove_block   0.00       0.00       0.00       
remove_block   0.00       0.00       0.00       
remove_block   0.00       0.00       0.00       
remove_block   0.00       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
wc_files       0.02       0.00       0.00       
wc_files       0.02       0.00       0.00       
wc_files       0.01       0.00       0.00       
wc_files       0.02       0.00       0.00       
remove_block   0.00       0.00       0.00       
remove_block   0.00       0.00       0.00       
remove_block   0.00       0.00       0.00       
remove_block   0.00       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.01       0.00       0.00       
wc_files       0.02       0.00       0.00       
wc_files       0.01       0.00       0.00       
wc_files       0.02       0.00       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
remove_block   0.00       0.00       0.00       
remove_block   0.00       0.00       0.00       
remove_block   0.00       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.01       
wc_files       0.01       0.00       0.00       
wc_files       0.02       0.00       0.00       
wc_files       0.01       0.01       0.00       
wc_files       0.01       0.00       0.00       
remove_block   0.00       0.00       0.00       
remove_block   0.00       0.00       0.00       
remove_block   0.00       0.00       0.00       
remove_block   0.00       0.00       0.00       
remove_block   0.00       0.00       0.00       
wc_files       0.02       0.00       0.00       
wc_files       0.01       0.00       0.00       
wc_files       0.02       0.00       0.00       
wc_files       0.01       0.00       0.00       
wc_files       0.02       0.00       0.00       
